zipcode clean,neighbourhood clean,city,state,zipcode,latitude,longitude,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
90069,West Hollywood,West Hollywood,CA,90069,34.08756422,-118.3805542,Entire home/apt,$235.00 ,,20,50,80,123,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.0895845,-118.3642784,Private room,$67.00 ,,27,57,87,87,4/2/2017
90210,Beverly Hills,Beverly Hills,CA,90210,34.08404627,-118.3891965,Entire home/apt,$49.00 ,,8,23,40,280,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08981626,-118.3797206,Entire home/apt,$99.00 ,,13,41,68,249,4/2/2017
90038,Hollywood,West Hollywood,CA,90038,34.09338594,-118.3434777,Entire home/apt,$119.00 ,,22,52,82,357,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08664155,-118.3847488,Entire home/apt,$150.00 ,,6,20,43,313,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.09402242,-118.3550382,Entire home/apt,$130.00 ,,0,14,33,95,4/2/2017
90046,Hollywood,Los Angeles,CA,90046,34.09441211,-118.3681039,Entire home/apt,$75.00 ,,0,5,8,88,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.0869746,-118.3841113,Entire home/apt,$180.00 ,,17,43,65,328,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08473412,-118.3805496,Entire home/apt,$275.00 ,,14,38,66,341,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08912184,-118.371536,Private room,$135.00 ,,30,60,90,365,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.08797665,-118.3665277,Entire home/apt,$200.00 ,,22,52,82,357,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.09252623,-118.3531585,Entire home/apt,$90.00 ,,0,23,53,53,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08634958,-118.3814476,Entire home/apt,$135.00 ,,23,53,83,358,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08957455,-118.3704381,Entire home/apt,$125.00 ,,14,44,74,164,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.09159808,-118.370686,Entire home/apt,$165.00 ,,28,58,88,178,4/2/2017
90048,Beverly Grove,West Hollywood,CA,90048,34.08059366,-118.3792524,Entire home/apt,$869.00 ,,22,52,79,336,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.09306354,-118.3738288,Entire home/apt,$147.00 ,,20,38,68,335,4/2/2017
90038,Hollywood,Los Angeles,CA,90038,34.09361645,-118.3434294,Private room,$65.00 ,,28,58,88,88,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.08980456,-118.3443246,Entire home/apt,$199.00 ,,11,29,46,290,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.09290304,-118.370938,Private room,$68.00 ,,0,0,0,0,4/2/2017
90069,West Hollywood,Los Angeles,CA,90069,34.08341639,-118.3778394,Entire home/apt,$165.00 ,,8,38,68,343,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.08987218,-118.35481,Entire home/apt,$108.00 ,,12,34,60,332,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.09262319,-118.3605465,Entire home/apt,$118.00 ,,20,50,80,80,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08966677,-118.3804866,Private room,$150.00 ,,29,59,89,364,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.08887258,-118.3597979,Entire home/apt,$125.00 ,,0,0,0,0,4/2/2017
90046,Hollywood,West Hollywood,CA,90046,34.09438796,-118.3659909,Entire home/apt,$259.00 ,,23,49,79,164,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08713762,-118.3832242,Entire home/apt,$297.00 ,,11,30,42,276,4/2/2017
